ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
SUN CRUSH CARBONATED ORANGE FLAVOURED  250ML CAN,SUN CRUSH,CEYLON BEVRAGE INTERNATIONAL PVT LTD,CAN ,250ML,,SUN CRUSH TONIC,CEYLON LION BEVERAGE PVT LTD,CAN,250ML,| Target Itemdesc not found,SUN CRUSH SPARKLING IMPERIAL TONIC WATER 250 ML CAN,0.8773046565128505
DAAN /NELLI FLAVOURED DRINK/ 180ML PBT/,DAAN,DAAN BEVERAGE,PBT,180ML,,,DAAN BEVERAGE,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
DAAN /OREANG FLAVOURED NECTA / 180ML /PBT,DAAN,DAAN BEVERAGE,PBT,180,,,DAAN BEVERAGE,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
DAAN/ PASSION FRUITS NECTA /180ML/ PBT,DAAN,DAAN BEVERAGE,PBT,180ML,,,DAAN BEVERAGE,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
DAAN WOODAPPLE 180ML PBT,DAAN,DAAN BEVERAGE,PBT,180ML,,,DAAN BEVERAGE,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
LIFE BUOY/VENIVEL & OLIVE OIL/FOR HEALTHY SKIN/100G/EWRPK,LIFEBUOY,UNILEVER SRI LANKA LTD,EWRPK,100G,,LIFEBUOY,UNILEVER SRI LANKA LTD,EWRPK,100G,| Target Itemdesc not found,LIFEBUOY TOTAL 10 PURE OLIVE OIL SOAP EWRPK 100 GM + SAVE RS 10,0.8948118830578266
NYLE/200/ML/PBT/TRIPLE EXOTIC OIL BODY LOTION ,NYLE,CAVINKARE PRIVATE LIMITED,PBT,200ML,,NYLE,CAVINKARE PRIVATE LIMITED,PLBOT,200ML,| Target Itemdesc not found,NYLE (CAVINKARE) TURMERIC OIL & PURE MILK BODY LOTION 200 ML PLBOT,0.958453094973924
NYLE/100/ML/PBT/ TRIPLE EXOTIC OIL BODY LOTION ,NYLE,CAVINKARE PRIVATE LIMITED,PBT,100ML,,NYLE,CAVINKARE PRIVATE LIMITED,PLBOT,100ML,| Target Itemdesc not found,NYLE (CAVINKARE) HEAL&REPAIR TURMERIC OIL&PURE MILK BODY LOT100 ML,0.9291361943559849
NYLE/100/ML/PBT/TRIPLE BUTTER BODY LOTION ,NYLE,CAVINKARE PRIVATE LIMITED,PBT,100ML,,NYLE,CAVINKARE PRIVATE LIMITED,PLBOT,100ML,| Target Itemdesc not found,NYLE (CAVINKARE) HEAL&REPAIR TURMERIC OIL&PURE MILK BODY LOT100 ML,0.9201332355102068
SUNLIGHT/50/GM/PLPCH/2IN1 CLEAN & CITRUS FRESH,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH,50GM,,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH,50GM,| Target Itemdesc not found,SUNLIGHT 2 IN 1 CLEAN & LEMON FRESH DOUBLE PERFUME LOCK DETERGENT POWDER 50 GM PLPCH,0.907225316895427
