ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
HERB LINE KESHA WARDHANI SHAMPOO/100ML/PLBOT,HERB LINE,HERB LINE (PVT)LTD,PLBOT,100 ML,,,NEW DIAMOND LANKA (PVT)LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
CENTURY/15/G/SACHET/TOMATO SAUCE ,CENTURY,COLMANS LANKA (PVT) LTD,SACHET ,15G,,CENTURY,COLMANS LANKA (PVT) LTD,SACHET,,| Target Packsize or UOM not found| Target Itemdesc not found,,
WAPP /20L/CANISTER/COLOER/,WAPP,LATEX LANKA INTERNATIONAL (PVT) LTD,CANISTER ,20L,,WAPP,PURE LANKA INTERNATIONAL (PVT) LTD,PL-CANISTER,,| Target Packsize or UOM not found| Target Itemdesc not found,,
YOMA/40/GM/PLPCH/PRAWNS TASTE SOYA MEAT,YOMA,YOMA MARKETING SERVICES,PLPCH,40GM,,YOMA,YOMA MARKETING SERVICES,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
YOMA/60/GM/PLPCH/PRAWN FLAVOUR SOYA MEAT,YOMA,YOMA MARKETING SERVICES,PLPCH,60GM,,YOMA,YOMA MARKETING SERVICES,PLPCH,60GM,| Target Itemdesc not found,YOMA CHICKEN FLAVOUR 60 GM,0.892393398242267
RASORA/80/GM/PLC CUP/JELLY YOGHURT,RASORA,RASORA PRODUCTS,PLC CUP,80GM,,RASORA,RASORA PRODUCTS,PLCUP,,| Target Packsize or UOM not found| Target Itemdesc not found,,
YOMA/40/GM/PLPCH/CURRY SOYA TASTE SOYA MEAT,YOMA,YOMA MARKETING SERVICES,PLPCH,40GM,,YOMA,YOMA MARKETING SERVICES,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
YOMA/40/GM/PLPCH/CHICKEN TASTE,YOMA,YOMA MARKETING SERVICES,PLPCH,40GM,,YOMA,YOMA MARKETING SERVICES,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
RAIGAM /40/G/EWRPK/NO-1DAEAPORANU CHICKEN FLAVOR,RAIGAM ,RAIGAM MARKETING SERVICE,EWRPK,40G,,RAIGAM,RAIGAM MARKETING SERVICE,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
LAKMEE/50/G/EWRPK/NO-1/ LAGOON PRAWNS KALAPU ISSO,LAKMEE ,LAKMEE EXPORTS,EWRPK,50G,,LAKMEE,LAKMEE EXPORTS,PLBOT,,| Target Packsize or UOM not found| Target Itemdesc not found,,
VASELINE PERFUMED MOISTURIZER KISS OF PETALS WITH SERUM - GEL CREAM /100ML/PLBOT,VASELINE PERFUMED MOISTURIZER ,UNILEVER SRI LANKA LTD,PLBOT,100ML,,VASELINE,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,VASELINE (USL) NEW ICE COOL HYDRATION VASELINE JELLY GEL CREAM 100 ML PLBOT,0.8977988552590622
VASELINE PERFUMED MOISTURIZER PRETTY AS A PEACH WITH SERUM  - GEL CREAM/100ML/PLBOT,VASELINE PERFUMED MOISTURIZER ,UNILEVER SRI LANKA LTD,PLBOT,100ML,,VASELINE,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,VASELINE (USL) NEW ICE COOL HYDRATION VASELINE JELLY GEL CREAM 100 ML PLBOT,0.9023334513390454
VASELINE\100\ML\PBT\PERFUMED MOISTURIZER KISS OF PETALS WITH SERUM,VASELINE,UNILEVER SRI LANKA LTD,PBT,100ML,,VASELINE,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,VASELINE (USL) TOTAL MOISTURE ALOE FRESH 24HR NOURISHING LOTION 100 ML,0.9176884734538333
VASELINE\100\ML\PBT\PERFUMED MOISTURIZER PRETTY AS A PEACH WITH SERUM,VASELINE,UNILEVER SRI LANKA LTD,PBT,100ML,,VASELINE,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,VASELINE (USL) TOTAL MOISTURE COCOA GLOW LOTION 24HR NOUR.LOT.100 ML,0.9210190812770855
SUNLIGHT/50/GM/PLPCH/2IN1 CLEAN & CITRUS FRESH,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH,50GM,,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH,50GM,| Target Itemdesc not found,SUNLIGHT 2 IN 1 CLEAN & LEMON FRESH DOUBLE PERFUME LOCK DETERGENT POWDER 50 GM PLPCH,0.907225316895427
MALIBAN/200/GM/CDBOX/MALIBAN FULL CREAM MILK POWDER + SAVE 20,MALIBAN,MALIBAN MILK PRODUCT (PVT) LTD,CDBOX,200GM,,MALIBAN,MALIBAN MILK PRODUCT (PVT) LTD,CDBOX,200GM,| Target Itemdesc not found,MALIBAN KIRI FULL CREAM MILK POWDER 200 GM CDBOX + SAVE RS 30,0.9423863529092649
DOVE/40/ML/PLBOT/NUTRITIVE SOLUTION/INTENSE REPAIR CONDITIONER ,DOVE,UNILEVER SRI LANKA LTD,PLBOT ,40 ML,,DOVE,UNILEVER SRI LANKA LTD,PLBOT,40ML,| Target Itemdesc not found,DOVE NUTRITIVE SOLUTIONS INTENSE REPAIR SHAMPOO FOR DAMAGED HAIR 40 ML PLBOT,0.9184553070575935
TEEPOL/500/ML/PLPCH/DISHWASHING LIQUID/ORANGE WITH ALOE VERA REFILL PACK,TEEPOL,DARLEY BUTLER,PLPCH ,500 ML,,TEEPOL,DARLEY BUTLER,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
SUNLIGHT/50/GM/PLPCH/CLEAN & CITRUS FRESH/2 IN 1 DOUBLE PERFUME LOCK DOUBLE CLEANING CRYSTALS DETERGENT POWDER ,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH ,50 GM,SUNLIGHT 2 IN 1 CLEAN & LEMON FRESH DOUBLE PERFUME LOCK DETERGENT POWDER 50 GM PLPCH,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH,50.00 GM,,EMF,0.970409987133811
VASELINE PERFUMED MOISTURIZER/KISS OF PETALS/ WITH SERUM/100ML/PBOTL,VASELINE,UNILEVER SRI LANKA LIMITED ,PBOTL,100ML,,VASELINE,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,VASELINE (USL) TOTAL MOISTURE ALOE FRESH 24HR NOURISHING LOTION 100 ML,0.9071035768176252
BELLOSE/50/ML/PLPCH/ANTI-DANDRUFF SHAMPOO ,BELLOSE,BELLOSE LANKA LTD,PLPCH ,50 ML,,BELLOSE,BEVCO LANKA (PVT) LTD,PLPCH,50ML,| Target Itemdesc not found,BELLOSE KERATIN SHAMPOO (REFILL PACK) 50 ML PLPCH,0.9156451942866161
SUNLIGHT/50/GM/PLPCH/CLEAN & CITRUS FRESH DETERGENT POWDER ,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH ,50 GM,,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH,50GM,| Target Itemdesc not found,SUNLIGHT CLEAN & ROYAL LAVENDER 2 IN 1 DOUBLE PERFUME LOCK - DOUBLE CLEANING CRYSTALS DETERGENT POWDER 50 GM PLPCH,0.9274959127568831
ALOIS\750\ML\GBT\SUPER HIGH GLOSS NC THINNER ,ALOIS,ALOIS ENTERPRISES ,GBT,750ML,,,,,,Target Company not found| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
JHP\1\L\PBT\WOOD PRESERVATIVE ,JHP,JHP PRODUCT,PBT,1L,,,,,,Target Company not found| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
ALOIS\2\L\PL CAN\WOOD PRESERVATIVE CLEAR ,ALOIS,ALOIS ENTERPRISES ,PL CAN,2L,,,MAHIN ENTERPRISES,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
ALOIS\180\ML\GBT\SUPER HIGH GLOSS NC THINNER ,ALOIS,ALOIS ENTERPRISES ,GBT,180ML,,,,,,Target Company not found| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
SUNLIGHT/50/GM/PLPCH/2 IN 1/CLEAN & CITRUS FRESH/DETERGENT POWDER ,SUNLIGHT,UNILEVER SRI LANKA LTD,PLPCH,50 GM,,SUNLIGHT,UNILEVER SRI LANKA LTD,EWRPK,,| Target Packsize or UOM not found| Target Itemdesc not found,,
RAIGAM/60/GM/PLPCH/CRAB FLAVOUR SOYA (KALAPU KAKULUWO),RAIGAM SOYA,RAIGAM MARKETING SERVICE,PLPCH ,60 GM,,RAIGAM SOYA,RAIGAM MARKETING SERVICE,PLPCH,60GM,| Target Itemdesc not found,RAIGAM ISSAN KIRATA-PRAWN FLAVOUR 60 GM,0.9275809908042387
CLOGARD /120G/CD BOX/NATURAL SALT/SAVE 10/=,CLOGARD,HEMAS MARKETING,CD,120G,,CLOGARD,HEMAS MARKETING,CDBOX,120G,| Target Itemdesc not found,CLOGARD CAVITY PROTECTION NATURAL CLOVE OIL FIGHTS GERMS STRENG.ENAMEL 120 GM + SAVE RS 10,0.8716146884720525
SUNLIGHT/50/GM/PLPCH/2 IN 1 CLEAN & CITRUS FRESH POWDER ,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH,50GM,,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH,50GM,| Target Itemdesc not found,SUNLIGHT 2 IN 1 CLEAN & LEMON FRESH DOUBLE PERFUME LOCK DETERGENT POWDER 50 GM PLPCH,0.9336514790354249
